Category,Item,Need (pcs),Pack Size,Status,Link
Electronics,DC Motor JGA25-370 12V 60RPM,1,1,Buy,https://www.laskakit.cz/motor-jga25-370-12v-s-prevodovkou-/
Electronics,PWM Potentiometer Controller,1,1,Buy,https://www.laskakit.cz/pwm-regulator-otacek-motoru-3a/
Electronics,12V Power Adapter,1,1,Buy,https://www.laskakit.cz/napajeci-adapter-sitovy-1000ma-5-5-2-1-mm-12v/
Electronics,DC 5.5/2.1mm Female Connector,1,1,Buy,https://www.laskakit.cz/konektor-dc-5-5-2-1mm-samice-25cm-kabel/
Linear Motion,8mm Smooth Linear Rod 500mm,2,2,Buy,https://www.amazon.de/-/en/Straight-Diameter-Horizontal-Precision-Bearing/dp/B08XYNLPGP
Linear Motion,LM8UU Linear Bearing,3,8,Buy,https://www.amazon.de/-/en/QUARKZMAN-Bearings-Diameter-Bearing-Printer/dp/B0CNXJZ62C
Linear Motion,608ZZ Bearing,2,10,Already own,https://www.amazon.de/-/en/Bearings-Miniature-Precision-Skateboards-Rollerblades/dp/B0F9TCDTSJ
Screws M4,M4x18 Screw,8,848,Already own,https://www.amazon.de/-/en/RunXinDa-Piece-Screws-Nuts-Assortment/dp/B0FXQF4FH9
Screws M4,M4x14 Screw,4,848,Already own,https://www.amazon.de/-/en/RunXinDa-Piece-Screws-Nuts-Assortment/dp/B0FXQF4FH9
Screws M4,M4 T-Nut for 3030 Extrusion,12,10,Buy (2 packs),https://www.amazon.de/-/en/METALLIXITY-Sliding-attachment-aluminium-extrusion/dp/B0D89NW4F7
Screws M3,M3x15 Screw,10,520,Already own,https://www.amazon.de/-/en/Hexagonal-Cylinder-Stainless-Threaded-Assortment/dp/B0FVXX812W
Screws M3,M3x6 Grub Screw,1,676,Already own,https://www.amazon.de/-/en/Foliv-Screws-Assortment-Hexagon-Hexagonal/dp/B0BX34P7NZ
Inserts,M3x3 CNC Kitchen Threaded Insert,11,50,Buy,https://www.amazon.de/-/en/CNC-KITCHEN-Original-Threaded-Version/dp/B09FXNX6WF
Screws M8,M8x25 Phillips Pan Head Screw,2,30,Buy,https://www.amazon.de/-/en/Zuyya-Screws-Socket-Stainless-Thread/dp/B0FKSQWG9D
Screws M8,M8 Nut,2,50,Buy,https://www.amazon.de/-/en/Topnorm24-Hexagonal-Stainless-High-Quality-Rustproof/dp/B0C3YCF3BM
Tools,Soldering Iron Tips Adapter ERSA,1,1,Buy,https://www.amazon.de/-/en/gp/product/B0D9YFZN91
Tools,Melting Aid Set for Inserts,1,1,Buy,https://www.amazon.de/-/en/gp/product/B0DP51DDF7
3030 Profiles,3030 Aluminum Profile 340mm,4,-,Already own,https://vslot-czech.cz/cs_CZ/p/Hlinikovy-profil-cerny-30x30-8-K-ROZMERU/3744
3030 Profiles,3030 Aluminum Profile 465mm,1,-,Already own,https://vslot-czech.cz/cs_CZ/p/Hlinikovy-profil-cerny-30x30-8-K-ROZMERU/3744
3030 Profiles,3030 Corner Bracket,10,10,Buy,https://www.amazon.de/-/en/Befenybay-Extruded-Aluminium-Extrusion-3030-Black-10/dp/B0BJQ93GLV
